timestamp,source_file,center_frequency_hz,sample_rate_hz,noise_floor_db,threshold_db,peak_frequency_hz,peak_power_db,peak_delta_db,anomaly_count,mean_power_db,std_power_db,max_power_db,min_power_db,occupied_bandwidth_hz,overall_severity
2026-08-23T14:42:31Z,hackrf_capture_20260823T141846Z.iq,433000000.0,10000000.0,40.94086626146624,52.94086626146624,429501235.96191406,51.20975059766955,10.268884336203307,0,39.922774599022254,5.607997494164664,51.20975059766955,12.508503243388445,9999923.706054688,NONE
2026-08-23T17:40:24Z,hackrf_capture_20260823T174021Z.iq,433000000.0,10000000.0,40.64784828467404,52.64784828467404,429509552.0019531,51.171966633628465,10.524118348954424,0,39.88294159834754,5.335029063020353,51.171966633628465,12.727859627525929,9999923.706054688,NONE
2026-08-23T17:40:28Z,hackrf_capture_20260823T174025Z.iq,433000000.0,10000000.0,41.264337734953294,53.264337734953294,430568740.84472656,51.090331043890004,9.82599330893671,0,40.20820248174959,5.4582801176707,51.090331043890004,15.995902946386074,9999923.706054688,NONE
2026-08-23T17:40:32Z,hackrf_capture_20260823T174029Z.iq,433000000.0,10000000.0,40.950808054832336,52.950808054832336,434096649.1699219,51.79883811533021,10.848030060497877,0,40.129253221962536,5.654171137265589,51.79883811533021,10.176187184887421,9999923.706054688,NONE
2026-08-23T17:40:36Z,hackrf_capture_20260823T174033Z.iq,433000000.0,10000000.0,41.35614424817123,53.35614424817123,436456954.9560547,50.99035972702434,9.634215478853108,0,40.25443776735813,5.600255389224956,50.99035972702434,12.330788728528061,9999923.706054688,NONE
2026-08-23T17:40:40Z,hackrf_capture_20260823T174037Z.iq,433000000.0,10000000.0,40.8857269898167,52.8857269898167,435097473.14453125,53.04880280336913,12.163075813552425,1,40.06755624910401,5.729577666793262,53.04880280336913,9.608132160014645,9999923.706054688,LOW
2026-08-23T17:40:44Z,hackrf_capture_20260823T174041Z.iq,433000000.0,10000000.0,41.405648048161524,53.405648048161524,431644638.06152344,52.17480934330315,10.769161295141629,0,40.34423700131828,5.789868949776731,52.17480934330315,3.5846649372288586,9999923.706054688,NONE
2026-08-23T17:40:48Z,hackrf_capture_20260823T174045Z.iq,433000000.0,10000000.0,41.100322441461444,53.100322441461444,430727203.3691406,50.97322640625835,9.872903964796905,0,40.218842448786745,5.655203138443184,50.97322640625835,4.270108843176244,9999923.706054688,NONE
2026-08-23T17:40:52Z,hackrf_capture_20260823T174049Z.iq,433000000.0,10000000.0,40.993202806189004,52.993202806189004,431085861.2060547,50.64859330024741,9.655390494058409,0,40.038327433094175,5.910074194419935,50.64859330024741,6.97004244422228,9999923.706054688,NONE
2026-08-23T17:40:56Z,hackrf_capture_20260823T174053Z.iq,433000000.0,10000000.0,41.360215956649135,53.360215956649135,429542892.4560547,51.14410525362007,9.783889296970933,0,40.30451920254682,5.636831680724,51.14410525362007,6.842213299829356,9999923.706054688,NONE
2026-08-23T17:41:00Z,hackrf_capture_20260823T174057Z.iq,433000000.0,10000000.0,40.90394739262102,52.90394739262102,435964859.00878906,52.0601628598089,11.156215467187877,0,40.10545022981091,5.49304716998736,52.0601628598089,9.188683879165108,9999923.706054688,NONE
2026-08-23T17:41:04Z,hackrf_capture_20260823T174101Z.iq,433000000.0,10000000.0,41.235941436174286,53.235941436174286,433337677.0019531,51.25162420096111,10.015682764786824,0,40.2222378995281,5.888169336708512,51.25162420096111,8.4403557423697,9999923.706054688,NONE
2026-08-23T17:41:08Z,hackrf_capture_20260823T174105Z.iq,433000000.0,10000000.0,41.40396261632621,53.40396261632621,432120025.6347656,51.40728714370689,10.003324527380677,0,40.59150786836321,5.299597989983102,51.40728714370689,18.25036671762955,9999923.706054688,NONE
2026-08-23T17:41:12Z,hackrf_capture_20260823T174109Z.iq,433000000.0,10000000.0,41.25227024366059,53.25227024366059,433346069.3359375,51.95181810094606,10.699547857285474,0,40.279315819807,5.503215974720699,51.95181810094606,7.600279144883065,9999923.706054688,NONE
2026-08-23T17:41:16Z,hackrf_capture_20260823T174113Z.iq,433000000.0,10000000.0,41.36724487407442,53.36724487407442,429826477.05078125,52.088934634906714,10.721689760832291,0,40.29256244023694,5.59476265551809,52.088934634906714,11.772882338539926,9999923.706054688,NONE
2026-08-23T17:41:20Z,hackrf_capture_20260823T174117Z.iq,433000000.0,10000000.0,40.75710668245239,52.75710668245239,430535400.390625,51.38060335447203,10.623496672019641,0,39.991435014183104,5.536893994885562,51.38060335447203,6.443983381322036,9999923.706054688,NONE
